Nombre, Rating, Country, Body, Day, Year, Size
Flor de las Antillas Toro,96,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Cohiba 1966 Edición Limitada 2011,95,Cuba,Medium,CA • January 1, 2013,Corona Gorda,
Romeo by Romeo Y Julieta Piramide,94,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Padrón Family Reserve 85 Years Natural,94,Nicaragua,Medium,CA • January 1, 2013,Robusto,
Arturo Fuente Rosado Sungrown Magnum R Vitola "Forty-Four",94,Dominican Republic,Medium,CA • January 1, 2013,Robusto,
H. Upmann Royal Robusto,94,Cuba,Medium,CA • January 1, 2013,Robusto,
Ashton Heritage Puro Sol Belicoso No. 2,94,Dominican Republic,Mild-Medium,CA • January 1, 2013,Figurado,
Rocky Patel Fifty Robusto,93,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Tatuaje Cojonu 2012 Sumatra,93,Nicaragua,Medium-Full,CA • January 1, 2013,Corona Gorda,
Nat Sherman Timeless Collection No. 2,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Kristoff Corojo Limitada Torpedo,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
La Flor Dominicana Cameroon Cabinet Chisel,93,Dominican Republic,Medium-Full,CA • January 1, 2013,Figurado,
Partagas Serie E No. 2,93,Cuba,Medium,CA • January 1, 2013,Corona Gorda,
El Baton Belicoso,93,Nicaragua,Medium,CA • January 1, 2013,Figurado,
H. Upmann 1844 Reserve Belicoso,93,Dominican Republic,,CA • January 1, 2013,Figurado,
Bolivar Belicoso Fino,93,Cuba,,CA • January 1, 2013,Figurado,
Camacho Liberty 2012,92,Honduras,Medium,CA • January 1, 2013,Figurado,
Oliva Serie V Belicoso,92,Nicaragua,Full,CA • January 1, 2013,Figurado,
La Palina El Diario K B,92,Honduras,Full,CA • January 1, 2013,Petit Corona,
Punch Gran Puro Santa Rita,91,Honduras,,CA • January 1, 2013,Robusto,
Alec Bradley Fine and Rare,91,Honduras,Medium-Full,CA • January 1, 2013,Corona Gorda,
E.P. Carrillo Elencos Series Don Rubino,91,Dominican Republic,Medium-Full,CA • January 1, 2013,Robusto,
Macanudo Crü Royale Poco Gordo,91,Dominican Republic,Medium,CA • January 1, 2013,Odd,
Headley Grange Estupendo,91,Dominican Republic,Medium-Full,CA • January 1, 2013,Corona Gorda,
